epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,5725.11,1.5258,2.26707,0.94476,0.98925,0,0.8295,0.72947,0.76574,0.63997,0.73338,0.66657,0.69034,0.44495,1.81788,1.75675,0.96384,0.93064,0,0.004852,0.004852,0.004852
54,5829.01,1.53074,2.23285,0.96366,0.97935,0,0.85433,0.72039,0.76541,0.63379,0.76135,0.65257,0.68864,0.44655,1.84828,1.74331,0.98195,0.92319,0,0.004753,0.004753,0.004753
55,5994.83,1.57255,2.28753,0.97251,0.98882,0,0.85981,0.72453,0.77089,0.641,0.78988,0.65402,0.69992,0.46041,1.81498,1.75238,0.94944,0.91626,0,0.004654,0.004654,0.004654
56,6070.78,1.52502,2.18649,0.94213,0.97277,0,0.854,0.71276,0.76348,0.6424,0.76797,0.64949,0.68848,0.44897,1.81428,1.79357,0.97159,0.91435,0,0.004555,0.004555,0.004555
57,6233.33,1.52031,2.15368,0.9311,0.98035,0,0.85064,0.71298,0.76544,0.64736,0.76934,0.65854,0.69886,0.45101,1.82177,1.76507,0.96142,0.92546,0,0.004456,0.004456,0.004456
58,6406.37,1.49441,2.20197,0.91895,0.97437,0,0.85581,0.71876,0.76811,0.64374,0.77182,0.65582,0.69635,0.46153,1.79661,1.70312,0.93717,0.91497,0,0.004357,0.004357,0.004357
59,6471.13,1.5089,2.19495,0.91622,0.96919,0,0.85027,0.72623,0.77057,0.65478,0.77991,0.66394,0.70238,0.46505,1.78121,1.71723,0.91431,0.91375,0,0.004258,0.004258,0.004258
60,6541.43,1.50272,2.18941,0.9268,0.9741,0,0.85408,0.72309,0.7697,0.64865,0.78957,0.66231,0.70418,0.46928,1.78943,1.75528,0.9424,0.91556,0,0.004159,0.004159,0.004159
61,6613.37,1.54596,2.2189,0.9212,0.97067,0,0.87651,0.73056,0.77354,0.6525,0.78637,0.66527,0.7034,0.46155,1.77117,1.6768,0.9039,0.90839,0,0.00406,0.00406,0.00406
62,6684.5,1.50513,2.15926,0.94599,0.96445,0,0.87417,0.73134,0.77398,0.65349,0.78163,0.67407,0.70736,0.46367,1.7915,1.6821,0.92332,0.90879,0,0.003961,0.003961,0.003961
63,6808.89,1.48147,2.11649,0.90086,0.95791,0,0.87555,0.7255,0.7736,0.65364,0.79132,0.67423,0.70986,0.4754,1.78304,1.73583,0.89591,0.90885,0,0.003862,0.003862,0.003862
